City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
276,Fuling,CN,29.7022,107.3919,88.27,61,0,1.34,clear sky
277,Port Augusta,AU,-32.5,137.7667,58.71,55,20,14.2,few clouds
278,Korbach,DE,51.2756,8.873,57.6,72,100,9.19,overcast clouds
279,Santo Andre,BR,-23.6639,-46.5383,67.12,66,0,2.3,clear sky
280,Buriti Dos Lopes,BR,-3.175,-41.8669,77.88,78,96,6.62,overcast clouds
281,Namasigue,HN,13.2047,-87.1389,79.29,74,100,3.22,overcast clouds
282,Puerto Ayora,EC,-0.7393,-90.3518,69.55,93,57,1.99,broken clouds
283,Hwange,ZW,-18.3693,26.5019,56.1,46,2,3.02,clear sky
284,Honningsvag,NO,70.9821,25.9704,49.75,93,75,1.14,light rain
285,Hofn,IS,64.2539,-15.2082,50.16,99,100,12.55,overcast clouds
286,Upata,VE,8.0086,-62.3989,73.18,96,7,3.83,clear sky
287,Jambi,ID,-1.6,103.6167,81.39,79,30,3.38,scattered clouds
288,Jalu,LY,29.0331,21.5482,80.17,37,0,7.83,clear sky
289,Ahuimanu,US,21.4447,-157.8378,83.75,70,75,14.97,broken clouds
290,Waitara,NZ,-38.925,174.25,59.49,72,100,10.96,overcast clouds
291,Nabari,JP,34.6167,136.0833,87.49,57,30,4.94,scattered clouds
292,Lerwick,GB,60.1545,-1.1494,50.0,84,100,18.37,overcast clouds
293,Barranca,PE,-10.75,-77.7667,61.05,81,76,4.47,broken clouds
294,Aasiaat,GL,68.7098,-52.8699,38.73,94,100,10.69,overcast clouds
295,Pyaozerskiy,RU,65.8333,31.1667,55.31,87,99,1.79,overcast clouds
296,Magistralnyy,RU,56.1725,107.4458,71.85,48,73,8.37,broken clouds
297,Makakilo City,US,21.3469,-158.0858,82.56,61,100,9.22,overcast clouds
298,Tarrafal,CV,15.2833,-23.7667,75.99,86,93,11.14,overcast clouds
299,Yerbogachen,RU,61.2767,108.0108,68.31,49,0,7.36,clear sky
300,Coquimbo,CL,-29.9533,-71.3436,53.33,82,0,10.36,clear sky
301,Luwingu,ZM,-10.2621,29.9271,47.97,78,0,4.72,clear sky
302,Puri,IN,19.8,85.85,79.32,80,100,6.4,overcast clouds
303,Paciran,ID,-6.8767,112.3761,79.95,78,76,7.02,broken clouds
304,Samandag,TR,36.0842,35.9771,77.52,87,19,9.1,few clouds
305,Avera,US,33.194,-82.5271,80.65,78,15,6.13,few clouds
306,Jacksonville,US,30.3322,-81.6556,85.24,80,0,8.05,clear sky
307,Southbridge,US,42.0751,-72.0334,69.51,82,41,4.25,scattered clouds
308,Saint-Pierre,RE,-21.3393,55.4781,67.91,63,100,5.75,overcast clouds
309,Krasnoselkup,RU,65.7,82.4667,61.43,59,6,11.79,clear sky
310,Kyzyl-Suu,KG,42.3414,78.0056,56.59,91,100,2.42,overcast clouds
311,La Rioja,ES,42.25,-2.5,53.38,78,82,4.65,broken clouds
312,Catamarca,AR,-28.4696,-65.7852,60.78,47,26,1.99,scattered clouds
313,Kloulklubed,PW,7.0419,134.2556,77.5,70,98,7.36,light rain
314,Hohoe,GH,7.1518,0.4736,72.07,96,22,3.51,few clouds
315,Noumea,NC,-22.2763,166.4572,87.78,99,96,1.7,overcast clouds
316,Torbay,CA,47.6666,-52.7314,61.29,91,100,14.97,light rain
317,Vila Do Maio,CV,15.1333,-23.2167,75.99,86,100,14.36,overcast clouds
318,Asau,RO,46.4333,26.4,60.28,97,100,3.53,overcast clouds
319,Iroquois Falls,CA,48.7669,-80.6831,51.96,77,52,2.39,broken clouds
320,Itaituba,BR,-4.2761,-55.9836,76.57,75,77,1.77,broken clouds
321,Roma,US,43.2128,-75.4557,65.62,87,0,2.3,clear sky
322,Dingle,PH,10.9995,122.6711,83.17,79,97,4.47,overcast clouds
323,Taksimo,RU,56.3444,114.8794,56.12,90,100,5.28,light rain
324,Turinsk,RU,58.0458,63.696,60.26,70,13,5.08,few clouds
325,Chandbali,IN,20.7833,86.7667,84.61,76,100,9.22,overcast clouds
326,Ketchikan,US,55.3422,-131.6461,62.65,76,99,7.09,overcast clouds
327,Pokhara,NP,28.2333,83.9833,77.32,89,64,1.95,broken clouds
328,Camana,PE,-16.6228,-72.7111,60.53,86,96,9.35,overcast clouds
329,Berlevag,NO,70.8578,29.0864,53.6,76,75,12.66,broken clouds
330,Walvis Bay,NA,-22.9575,14.5053,50.95,81,0,1.14,clear sky
331,Giaginskaya,RU,44.8621,40.0719,63.39,55,0,10.13,clear sky
332,Coihaique,CL,-45.5752,-72.0662,30.81,93,40,3.44,scattered clouds
333,Bam,IR,29.106,58.357,85.32,19,91,10.16,overcast clouds
334,Mongomo,GQ,1.6274,11.3135,66.6,99,54,2.89,broken clouds
335,West Bay,KY,19.3667,-81.4167,84.27,82,20,5.75,few clouds
336,Maniitsoq,GL,65.4167,-52.9,40.86,96,100,1.92,overcast clouds
337,Portobelo,PA,9.55,-79.65,79.74,87,100,8.3,overcast clouds
338,Tiarei,PF,-17.5333,-149.3333,82.42,74,22,9.8,light rain
339,Srednekolymsk,RU,67.45,153.6833,61.86,39,99,11.65,overcast clouds
340,Kashi,CN,39.4547,75.9797,85.21,23,0,6.71,dust
341,Altay,CN,47.8667,88.1167,67.78,42,0,3.53,clear sky
342,Zhangye,CN,38.9342,100.4517,77.97,23,2,15.32,clear sky
343,Prachuap Khiri Khan,TH,12.2167,99.75,81.88,70,94,9.86,overcast clouds
344,Gobabis,NA,-22.45,18.9667,51.73,41,0,7.92,clear sky
345,Santa Maria,BR,-29.6842,-53.8069,74.5,46,0,16.11,clear sky
