City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
139,Florence,IT,76.3,43.7667,11.25,clear sky,Hotel Nuova Italia
141,Portland,US,75.45,45.5234,-122.6762,broken clouds,Embassy Suites by Hilton Portland Downtown
143,Nata,PA,75.97,8.3333,-80.5167,overcast clouds,Rey David
146,Hasaki,JP,73.8,35.7333,140.8333,few clouds,Inubosaki Kanko Hotel
148,Arlit,NE,89.08,18.7369,7.3853,clear sky,Case de Passage De la Prefecture
149,Hobyo,SO,75.96,5.3505,48.5268,scattered clouds,Iftin hotel hobyo
150,Orange Park,US,86.18,30.1661,-81.7065,broken clouds,Hilton Garden Inn Jacksonville Orange Park
151,Fairview,US,81.48,40.8126,-73.999,clear sky,Homewood Suites by Hilton Edgewater-NYC Area
152,Korla,CN,83.14,41.7597,86.1469,clear sky,Gulisitan Hotel
153,Bambous Virieux,MU,70.05,-20.3428,57.7575,smoke,Casa Tia Villa
155,Port Hueneme,US,83.5,34.1478,-119.1951,clear sky,Hampton Inn Channel Islands Harbor
156,Tahta,EG,83.32,26.7693,31.5021,clear sky,فندق الزيات
157,Dryden,CA,71.89,49.7833,-92.7503,broken clouds,"Holiday Inn Express Dryden, an IHG Hotel"
158,Salalah,OM,78.04,17.0151,54.0924,light rain,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
159,Sinnamary,GF,77.0,5.3833,-52.95,overcast clouds,ALETHEIA Appartement Sinnamary
160,Pismo Beach,US,73.38,35.1428,-120.6413,clear sky,SeaCrest OceanFront Hotel
165,Sur,OM,80.6,22.5667,59.5289,moderate rain,Sur Plaza Hotel
168,Walker,US,88.7,30.7335,-95.5669,overcast clouds,"Holiday Inn Express & Suites Huntsville, an IHG Hotel"
171,Mkokotoni,TZ,71.94,-5.8767,39.2547,light rain,
175,Faanui,PF,79.07,-16.4833,-151.75,clear sky,Bora-Bora Pearl Beach Resort & Spa
178,Pangai,TO,78.91,-19.8,-174.35,few clouds,Ha'apai Beach Resort
180,Ivolginsk,RU,71.26,51.7492,107.2837,few clouds,
181,Mahebourg,MU,70.09,-20.4081,57.7,smoke,Shandrani Beachcomber Resort & Spa
